,Country,IndicatorName,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,iso
7,Afghanistan,Gross Domestic Product (GDP),6929847255.48137,6910741006.910567,5777295216.106254,5944596820.88283,6268756882.422163,6657748956.290852,7021805640.771104,6667723112.019366,7161443821.131468,6976921939.952498,6717593890.715659,6862219148.953711,7001857329.287215,7345965702.310438,7480616804.793115,7500565116.277004,7724983620.423752,6932038239.107033,6358524284.086234,5909687275.792739,5725165394.613769,5099369505.4661045,5181698773.6881075,3888090898.5667825,3022555147.0013733,4531855989.30318,4293013317.268167,4072311062.969173,3887479665.145993,3698806736.400368,3495246009.9254236,3296867077.5308356,5439744322.718005,5887348821.498904,6025242700.691292,6621833827.419245,7228470203.624789,8391842820.097986,8587560227.195884,10066763501.204912,10392535776.375242,11294701243.49505,12529192571.005863,13340574767.445839,13628108853.432936,13299541327.435513,AFG
24,Albania,Gross Domestic Product (GDP),3169870222.528555,3296690924.478584,3429017108.2403946,3566791934.085768,3708416555.4998617,3858726334.819564,4014229705.4786096,4167938746.6114316,4347230196.011362,4519384902.620068,4665419716.105739,4933475213.532572,5078946267.112837,5135065488.2147875,5070794871.869884,5161087249.955025,5449834750.691517,5406883168.0608225,5330071943.657321,5854582876.051111,5270817570.540721,3794875792.0241537,3522133789.6265135,3858829089.1386423,4179222567.826569,4735992448.587045,5167050211.002467,4607052763.415097,5013825538.966294,5660143341.165841,6053313228.90522,6555332148.508671,6852719275.082988,7231580760.4672575,7630388041.128933,8052079314.494998,8527360047.077517,9037572906.723064,9715398986.706726,10041280528.079437,10413500430.612331,10678569364.502285,10829909669.740887,10950408521.635061,11171786322.96739,11466646524.665878,ALB
41,Algeria,Gross Domestic Product (GDP),28921920638.89811,26167766515.482162,31990457822.9227,33372818633.541344,34630350875.983604,36648082493.973274,38916131716.944954,42579090654.22124,46911104298.2203,50419035311.862915,50817651719.50253,52342179284.0373,55692080912.264885,58699454966.04107,61986622407.18467,64280125733.7143,64537246880.73638,64085487750.21597,63444629353.62917,66236194415.17322,66766084355.270325,65964890952.97242,67152260508.09467,65742062526.398346,65150386234.412056,67626097515.702354,70398766479.2911,71173152866.96642,74802986231.65213,77196682952.64868,80130156904.84372,82534061611.99034,87155969062.2613,93431198834.74246,97448740384.64018,103198216067.33508,104952585740.4747,108520973655.6581,111125477023.39383,112903484655.76395,116968010103.37598,120360082396.36691,124452325197.84726,127936990303.38963,132798595934.9145,137844942580.44125,DZA
58,Andorra,Gross Domestic Product (GDP),884948519.1410295,926093966.6378912,1001568270.2338607,1079575068.2585845,1140234077.5762146,1146416465.0320294,1184291674.4121516,1217908674.2949324,1235726719.7171862,1236240120.2869031,1263545304.0475085,1261871502.9931552,1277600248.370642,1300215250.9831553,1323420030.174383,1354142377.5777802,1398196985.8376663,1475756686.8008063,1550936517.871513,1625800692.7293203,1687278613.8959334,1730236737.7952485,1746314364.296798,1728301274.8113568,1769490070.4231842,1818283653.4417055,1902829150.199756,2075371494.176985,2141675212.3651829,2229464216.6508827,2255455022.346405,2358005336.767671,2510592208.048812,2816099141.348725,3031470736.842575,3255708103.268169,3403398519.3615165,3404760255.4196606,3112291220.548783,2997427335.3889832,2836800426.7432704,2704987273.6257257,2661295827.334648,2670654141.095933,2731483180.5442867,2754487827.994629,AND
75,Angola,Gross Domestic Product (GDP),15819156016.580292,16768305377.577076,16801841988.330727,18162791189.384296,18725837716.25524,17789545830.44543,16864489447.261343,16999405362.83684,16098436878.608217,16146732189.245275,16534253761.7861,15806746394.652975,15806746394.652975,16470629969.003313,17458868123.630177,18069928418.837288,18643859399.05236,19948999658.174805,21060732546.56872,21142337515.25933,21048330029.30292,21256994605.673546,20015951585.03773,15215442362.634645,15419232438.215794,17732117303.944477,20133820547.377995,21598410503.636604,22611623673.161877,23104893948.03051,23810661643.585773,24558316419.195457,28126639794.90741,28967583567.42863,32140429191.818237,36970878078.67161,41240195018.747986,47014844990.129265,52264448163.199715,52526046939.57564,55017338887.85409,56927530063.878334,61790363555.71072,64851823017.83867,67505890735.05583,69535765111.24728,AGO
91,Anguilla,Gross Domestic Product (GDP),31165226.082975354,30386543.06130894,33892677.97762721,35309092.68454817,35237877.54828639,36443599.33286203,37008763.69117828,37078503.48185062,39840180.23451778,43629572.16864965,45754869.78579102,47457429.3675652,46926428.46933391,46964891.579804234,49054612.507305995,55362159.40879227,62420430.294295,69059178.81615092,79804825.56351887,86589491.83215246,108672916.66155897,88932345.29585342,114459838.19693804,122959147.94995287,132803566.07436194,129721642.38468692,132973552.52793983,147185876.86554676,162358992.99959308,168345463.5534335,170488767.6396209,174603506.1295016,167957449.45867336,177447199.74554482,202516226.0425318,229114814.81481475,275576172.63249046,312332348.8287459,307793928.7142527,251135487.72793725,239951010.94261578,249756727.1868254,234130774.38755766,232716108.624021,244668957.16923293,251885906.87661532,AIA
107,Antigua and Barbuda,Gross Domestic Product (GDP),235416975.5863337,253018244.91666767,271719593.4186856,294821259.345551,304855694.4896357,288131635.9161612,262328802.7939593,281442012.48677135,291373173.6179173,322762736.577715,344398480.0883322,361423328.0580588,362842065.2043414,387669967.8476783,416576740.61695343,448853014.2009138,486626895.05709493,529011671.8232226,569091000.449849,598981222.9838299,617020421.028645,630452162.026166,637754866.6125462,671428784.6923101,716254692.2526255,685029604.9488455,730274555.8963572,770228852.4518214,806670798.8418586,836581301.7343355,887484208.0891688,841369048.1128765,850520797.5561818,902492197.0664988,954939893.8163857,1014979675.5555553,1144947451.2874753,1251308648.736561,1251905222.0242195,1101231463.0356646,1023685783.7546836,1005635416.2337824,1044226369.8227788,1042136958.873838,1090104355.6713266,1135092934.204426,ATG
124,Argentina,Gross Domestic Product (GDP),105128902649.07692,109083891624.32307,111349533597.07623,115520183892.19516,121764777209.28104,121042311789.07974,121027934367.7803,128756996433.55629,124607912270.95839,133351780656.81793,135290336295.29489,127961726679.31252,123916544310.60812,129012423398.63971,131599764069.33005,122445568904.08379,131192619090.64319,134515447464.97693,131888705667.23082,122642574538.98146,121000860915.34248,133701157507.6032,147478418236.97415,156698281947.0592,165843570146.90625,161124898262.01346,170029744160.24115,183820955375.85455,190898400029.22473,184435610441.18,182980434285.6046,174913127966.56268,155857230810.47412,169630420448.02353,184947303991.319,201387839742.11832,217785917050.89038,237420939085.0636,247140623504.40717,232279179644.48587,256328361179.03906,272086112167.53262,269221387009.85538,275420166796.57275,268373603946.61215,274740220263.88763,ARG
141,Armenia,Gross Domestic Product (GDP),,,,,,,,,,,,,,,,,,,,,4261614612.992218,3763910888.683888,2192237782.875261,1999083366.723721,2105578132.4482298,2250677470.6757827,2383469330.351137,2462624523.8397446,2643386483.8761277,2729434851.443546,2890352107.8267803,3166574727.813677,3643156373.580903,4154684757.7080503,4589590434.412438,5225971849.5027075,5915694602.083332,6729055561.636676,7196568584.440575,6178255779.198766,6315109501.0456705,6608810610.032637,7082348504.799433,7313073353.094214,7579425367.929692,7807966417.2684765,ARM
157,Aruba,Gross Domestic Product (GDP),206154957.17716157,224891306.82397613,245330507.24615744,267627317.66771728,291950571.7728109,318484438.2837721,347429831.1330616,379005918.03476566,413451793.2769681,451028272.8486999,492019883.0416812,536737007.9540421,585518239.112041,638732943.1664633,696784053.6474583,760111127.9992479,829193668.564982,962515003.1952407,1142011044.6532998,1280535163.1421156,1331262305.264399,1437269025.4683113,1521814262.338784,1633023765.7363913,1766995448.9307237,1811289740.333411,1833841853.709682,1977146173.2002919,2108955031.5978675,2133302271.923311,2229600859.818922,2163460404.6694098,2092320188.5355353,2134206484.0162277,2303081389.6050506,2331005586.592179,2355605474.4141726,2403475526.392107,2406799835.557241,2134206484.0162277,2062401406.0493264,2135536207.6822813,2106282287.0290995,2194708910.821672,2213325042.1464243,2215319627.645505,ABW
